refusal;7
regain;6
regardless;10
regime;6
registration;12
regulate;8
regulator;9
regulatory;10
rehabilitation;14
reign;5
reinforce;9
rejection;9
relevance;9
reliability;11
relieve;7
relieved;8
reluctant;9
remainder;9
remains;7
remarkable;10
remarkably;10
remedy;6
reminder;8
removal;7
render;6
renew;5
renowned;8
rental;6
replacement;11
reportedly;10
reporting;9
representation;14
reproduce;9
reproduction;12
republic;8
resemble;8
reside;6
residence;9
residential;11
residue;7
resign;6
resignation;11
resistance;10
resolution;10
respective;10
respectively;12
restoration;11
restore;7
restraint;9
restrict;8
restriction;11
resume;6
retail;6
retirement;10
retreat;7
retrieve;8
revelation;10
revenge;7
revenue;7
reverse;7
revision;8
revival;7
revive;6
revolutionary;13
rhetoric;8
ridiculous;10
rifle;5
riot;4
rip;3
risky;5
ritual;6
rival;5
rob;3
robbery;7
robust;6
rock;4
rocket;6
rod;3
romance;7
rose;4
rotate;6
rotation;8
roughly;7
ruin;4
ruling;6
rumour;6
sack;4
sacred;6
sacrifice;9
saint;5
sake;4
sanction;8
satisfaction;12
say;3
scattered;9
scholar;7
scholarship;11
scope;5
scratch;7
screening;9
screw;5
scrutiny;8
seal;4
seize;5
seldom;6
selective;9
seminar;7
senator;7
sensation;9
sensitivity;11
sentiment;9
separation;10
seri;4
settler;7
severely;8
sexuality;9
sexy;4
shaped;6
shatter;7
shed;4
sheer;5
shipping;8
shocking;8
shoot;5
shore;5
shortage;8
shortly;7
shrink;6
shrug;5
sibling;7
signature;9
significance;12
simulate;8
simulation;10
simultaneously;14
sin;3
sketch;6
skilled;7
skip;4
skull;5
slam;4
slap;4
slash;5
slavery;7
slogan;6
slot;4
smash;5
snap;4
soak;4
soar;4
so-called;9
socialist;9
sole;4
solely;6
solicitor;9
solidarity;10
solo;4
somehow;7
sometime;8
sophisticated;13
sound;5
sovereignty;11
spam;4
span;4
spare;5
spark;5
specialize;10
specialized;11
specification;13
specify;7
specimen;8
spectacle;9
spectacular;11
spectator;9
spectrum;8
speculate;9
speculation;11
spell;5
sphere;6
spice;5
spill;5
spin;4
spine;5
spite;5
spoil;5
spokesman;9
spokesperson;12
spokeswoman;11
sponsorship;11
sporting;8
spotlight;9
spouse;6
spy;3
squad;5
squeeze;7
stab;4
stability;9
stabilize;9
stake;5
stall;5
stance;6
standing;8
stark;5
starve;6
statistical;11
steadily;8
steam;5
steer;5
stem;4
stereotype;10
stimulate;9
stimulus;8
stir;4
storage;7
straightforward;15
strain;6
strand;6
strategic;9
strengthen;10
strictly;8
striking;8
strip;5
strip;5
strive;6
stroke;6
structural;10
stumble;7
stun;4
stunning;8
submission;10
subscriber;10
subscription;12
subsequent;10
subsequently;12
subsidy;7
substantial;11
substantially;13
substitute;10
substitution;12
subtle;6
suburb;6
suburban;8
succession;10
successive;10
successor;9
suck;4
sue;3
suffering;9
sufficient;10
sufficiently;12
suicide;7
suite;5
summit;6
super;5
superb;6
superior;8
supervise;9
supervision;11
supervisor;10
supplement;10
supportive;10
supposedly;10
suppress;8
supreme;7
surge;5
surgeon;7
surgical;8
surplus;7
surrender;9
surveillance;12
survival;8
survivor;8
suspend;7
suspension;10
suspicion;9
suspicious;10
sustain;7
sustainable;11
swallow;7
swing;5
sword;5
symbolic;8
sympathetic;11
syndrome;8
synthesis;9
systematic;10
tackle;6
tactic;6
tactical;8
tag;3
tap;3
taxpayer;8
technological;13
teens;5
temple;6
temporarily;11
tempt;5
tenant;6
tendency;8
tender;6
tension;7
tenure;6
terminal;8
terminate;9
terms;5
terrain;7
terribly;8
terrific;8
terrify;7
territory;9
terror;6
terrorism;9
terrorist;9
testify;7
testimony;9
testing;7
textbook;8
texture;7
thankfully;10
theatrical;10
theft;5
theology;8
theoretical;11
therapist;9
thereafter;10
thereby;7
thesis;6
thorough;8
thoroughly;10
thoughtful;10
thought-provoking;17
thread;6
threshold;9
thrilled;8
thrive;6
thumb;5
tide;4
tighten;7
timber;6
timely;6
timing;6
tissue;6
tobacco;7
tolerance;9
tolerate;8
toll;4
ton;3
tonne;5
top;3
torture;7
toss;4
total;5
tournament;10
toxic;5
trace;5
trademark;9
trading;7
tragedy;7
tragic;6
trail;5
trailer;7
trait;5
transaction;11
transcript;10
transformation;14
transit;7
transmission;12
transmit;8
transparency;12
transparent;11
transportation;14
trap;4
trauma;6
treasure;8
treaty;6
tremendous;10
tribal;6
tribe;5
tribunal;8
tribute;7
trigger;7
trillion;8
trio;4
triumph;7
troop;5
trophy;6
troubled;8
trustee;7
tsunami;7
ttl;3
tuition;7
turnout;7
turnover;8
twist;5
ultimate;8
unacceptable;12
uncertainty;11
undergo;7
undergraduate;13
underlying;10
undermine;9
undertake;9
undoubtedly;11
unfold;6
unfortunate;11
unify;5
unite;5
unity;5
universal;9
unprecedented;13
unveil;6
upcoming;8
upgrade;7
uphold;6
urgent;6
usage;5
useless;7
utility;7
utilize;7
utterly;7
vacuum;6
vague;5
valid;5
validity;8
vanish;6
variable;8
variation;9
varied;6
vein;4
venture;7
verbal;6
verdict;7
verify;6
verse;5
versus;6
vertical;8
vessel;6
veteran;7
viable;6
vibrant;7
vice;4
vicious;7
viewpoint;9
villager;8
violate;7
violation;9
virtue;6
visa;4
visible;7
vocal;5
voluntary;9
voting;6
vow;3
vulnerability;13
vulnerable;10
wander;6
ward;4
warehouse;9
warfare;7
warming;7
warrant;7
warrior;7
weaken;6
weave;5
weed;4
weekly;6
weird;5
welfare;7
well;4
well-being;10
whatsoever;10
wheat;5
whereby;7
whilst;6
whip;4
whoever;7
wholly;6
widen;5
widespread;10
widow;5
width;5
willingness;11
wipe;4
wisdom;6
wit;3
withdraw;8
withdrawal;10
workforce;9
workout;7
workplace;9
workshop;8
worm;4
worship;7
worthwhile;10
worthy;6
wrist;5
yell;4
yield;5
youngster;9
